// 20k words/01
的	de5
幽默	you1mo4
花钱	hua1qian2
技巧	ji4qiao3
营销	ying2xiao1
球迷	qiu2mi2
叙述	xu4shu4
收取	shou1qu3
尊严	zun1yan2
湿地	shi1di4
受益	shou4yi4
讲座	jiang3zuo4
出身	chu1shen1
罢了	ba4le5
民办	min2ban4
振	zhen4
融资	rong2zi1
政法	zheng4fa3
呼声	hu1sheng1
老年	lao3nian2
催	cui1
接收	jie1shou1
空	kong4
增幅	zeng1fu2
婚	hun1
夏季	xia4ji4
判	pan4
程	cheng2
脾气	pi2qi5
伤心	shang1xin1
授权	shou4quan2
景观	jing3guan1
劳务	lao2wu4
办公厅	ban4gong1ting1
高等教育	gao1deng3 jiao4yu4
眼看	yan3kan4
月亮	yue4liang5
基于	ji1yu2
叉	cha1
安理会	An1li3hui4
应急	ying4ji2
衡量	heng2liang2
眼镜	yan3jing4
召	zhao4
捐款	juan1kuan3
房地产	fang2di4chan3
住院	zhu4yuan4
指责	zhi3ze2
种类	zhong3lei4
灌溉	guan4’gai4
丰	feng1
姿态	zi1tai4
服务业	fu2wu4ye4
灾区	zai1qu1
恶劣	e4lie4
此前	ci3qian2
涉	she4
警惕	jing3ti4
唯	wei2
层面	ceng2mian4
验收	yan4shou1
嫌疑人	xian2yi2ren2
反响	fan3xiang3
火灾	huo3zai1
扩张	kuo4zhang1
讲述	jiang3shu4
智	zhi4
范	fan4
仇	chou2
税费	shui4fei4
废物	fei4wu4
入手	ru4shou3
输出	shu1chu1
开门	kai1men2
卫	wei4
拓宽	tuo4kuan1
时空	shi2kong1
有害	you3hai4
惊讶	jing1ya4
即可	ji2ke3
解	jie3
低下	di1xia4
买卖	mai3mai5
时节	shi2jie2
非典型肺炎	fei1dian3xing2 fei4yan2
省区	sheng3qu1
中药	zhong1yao4
堡	bao3
太平洋	Tai4ping2yang2
打造	da3zao4
刊登	kan1deng1
捐赠	juan1zeng4
润	run4
鸣	ming2
剂	ji4
蓝色	lan2se4
退耕还林	tui4geng1huan2lin2
将士	jiang4shi4
所有制	suo3you3zhi4
用品	yong4pin3
干事	gan4shi5
掀起	xian1qi3
长官	zhang3guan1
资	zi1
姑	gu1
肚	du4
扎	zha1
雅	ya3
公告	gong1gao4
民航	min2hang2
理事会	li3shi4hui4
合资	he2zi1
察	cha2
贯穿	guan4chuan1
生机	sheng1ji1
焦点	jiao1dian3
挖掘	wa1jue2
风光	feng1guang1
何必	he2bi4
办事处	ban4shi4chu4
震	zhen4
高考	gao1kao3
当场	dang1chang3
愤怒	fen4nu4
战友	zhan4you3
灾	zai1
桩	zhuang1
河流	he2liu2
迷信	mi2xin4
意味	yi4wei4
平凡	ping2fan2
人马	ren2ma3
全方位	quan2fang1wei4
老实	lao3shi5
全新	quan2xin1
入党	ru4dang3
策	ce4
修养	xiu1yang3
收回	shou1hui2
热线	re4xian4
勇于	yong3yu2
预期	yu4qi1
差	cha4
婴儿	ying1’er2
督促	du1cu4
关税	guan1shui4
民意	min2yi4
袭	xi2
平稳	ping2wen3
缺陷	que1xian4
辛苦	xin1ku3
嫂	sao3
难过	nan2guo4
态势	tai4shi4
劳	lao2
反正	fan3zheng4
狂	kuang2
书法	shu1fa3
孟	meng4
销	xiao1
跌	die1
台上	tai2shang4
遥远	yao2yuan3
气体	qi4ti3
攻关	gong1guan1
上课	shang4ke4
宣	xuan1
贤	xian2
矿产	kuang4chan3
心思	xin1si5
获取	huo4qu3
对立	dui4li4
困	kun4
旨在	zhi3zai4
无非	wu2fei1
仙	xian1
记住	ji4zhu4
练习	lian4xi2
系	xi4
屁股	pi4gu5
东南	dong1nan2
帮扶	bang1fu2
稳步	wen3bu4
日趋	ri4qu1
休	xiu1
同步	tong2bu4
大人	da4ren5
斗	dou4
不料	bu2liao4
兴建	xing1jian4
筹备	chou2bei4
购	gou4
抗议	kang4yi4
力气	li4qi5
消	xiao1
消极	xiao1ji2
储备	chu3bei4
未经	wei4jing1
巷	xiang4
作物	zuo4wu4
古城	gu3cheng2
束	shu4
对比	dui4bi3
总队	zong3dui4
凝聚力	ning2ju4li4
监控	jian1kong4
心想	xin1xiang3
价值观	jia4zhi2guan1
零售	ling2shou4
好转	hao3zhuan3
亏	kui1
武	wu3
寒	han2
参考	can1kao3
碧	bi4
哇	wa1
争议	zheng1yi4
想不到	xiang3bu5dao4
尽	jin3
困境	kun4jing4
镜头	jing4tou2
盒	he2
无力	wu2li4
发票	fa1piao4
走访	zou3fang3
后勤	hou4qin2
领会	ling3hui4
撤销	che4xiao1
泉	quan2
体坛	ti3tan2
物流	wu4liu2
立案	li4an4
学位	xue2wei4
勤	qin2
老子	Lao3zi3
超市	chao1shi4
通用	tong1yong4
劲	jin4
为首	wei2shou3
人民检察院	ren2min2 jian3cha2yuan4
拆迁	chai1qian1
击败	ji1bai4
管道	guan3dao4
安定	an1ding4
话剧	hua4ju4
幢	zhuang4
五一	Wu3-Yi1
制裁	zhi4cai2
大户	da4hu4
启	qi3
华北	Hua2bei3
审	shen3
乙	yi3
难免	nan2mian3
海峡	hai3xia2
对策	dui4ce4
地主	di4zhu3
笑声	xiao4sheng1
喜悦	xi3yue4
珍惜	zhen1xi1
等候	deng3hou4
联络	lian2luo4
肩膀	jian1bang3
季	ji4
志愿	zhi4yuan4
乐观	le4guan1
昔日	xi1ri4
逮捕	dai4bu3
崛起	jue2qi3
村子	cun1zi5
庞大	pang2da4
户口	hu4kou3
一身	yi1shen1
阻止	zu3zhi3
肖	xiao4
一齐	yi4qi2
聘请	pin4qing3
授	shou4
海拔	hai3ba2
曹	cao2
扩展	kuo4zhan3
勇	yong3
墨	mo4
核查	he2cha2
孤	gu1
特性	te4xing4
吊	diao4
抑制	yi4zhi4
// 20k words/06
小型	xiao3xing2
响应	xiang3ying4
礼物	li3wu4
尴尬	gan1’ga4
合并	he2bing4
策略	ce4lüe4
军民	jun1min2
统一战线	tong3yi1 zhan4xian4
例子	li4zi5
中原	zhong1yuan2
时尚	shi2shang4
撤	che4
度过	du4guo4
漏	lou4
姐妹	jie3mei4
无比	wu2bi3
晕	yun4
医务	yi1wu4
厘米	li2mi3
增添	zeng1tian1
平民	ping2min2
哄	hong3
展出	zhan3chu1
主流	zhu3liu2
独自	du4zi4
乃是	nai3shi4
特有	te4you3
停留	ting2liu2
交警	jiao1jing3
纳税	na4shui4
吵	chao3
撑	cheng1
高温	gao1wen1
包围	bao1wei2
一国两制	yi1guo2-liang3zhi4
排名	pai2ming2
俗	su2
既是	ji4shi4
出发点	chu1fa1dian3
窗户	chuang1hu5
缓	huan3
三农	san1nong2
运动会	yun4dong4hui4
吃惊	chi1jing1
抵抗	di3kang4
晚饭	wan3fan4
惯	guan4
固定资产	gu4ding4 zi1chan3
幻想	huan4xiang3
化解	hua4jie3
老人家	lao3ren5jia5
挣扎	zheng1zha2
地域	di4yu4
反动	fan3dong4
淡	dan4
看作	kan4zuo4
看做	kan4zuo4
镜	jing4
水土	shui3tu3
战斗力	zhan4dou4li4
坚定不移	jian1ding4-bu4yi2
急忙	ji2mang2
渔业	yu2ye4
传达	chuan2da2
压	ya1
拍卖	pai1mai4
会同	hui4tong2
急需	ji2xu1
多元化	duo1yuan2hua4
起草	qi3cao3
魏	Wei4
柳	liu3
商人	shang1ren2
客气	ke4qi5
链	lian4
消毒	xiao1du2
丰收	feng1shou1
模拟	mo2ni3
症状	zheng4zhuang4
祝	zhu4
事先	shi4xian1
是非	shi4fei1
多边	duo1bian1
意愿	yi4yuan4
诚	cheng2
思索	si1suo3
混合	hun4he2
挡	dang3
每当	mei3dang1
结	jie2
研讨	yan2tao3
蔓延	man4yan2
幅度	fu2du4
阻碍	zu3’ai4
也就是说	ye3jiu4shi4shuo1
泛	fan4
炒	chao3
棋手	qi2shou3
客厅	ke4ting1
终身	zhong1shen1
狠抓	hen3zhua1
祝愿	zhu4yuan4
民心	min2xin1
丈	zhang4
镜子	jing4zi5
蒋	Jiang3
跨越	kua4yue4
笑话	xiao4hua5
纺织	fang3zhi1
沙龙	sha1long2
场地	chan3di4
推开	tui1kai1
本月	ben3yue4
配备	pei4bei4
助理	zhu4li3
安静	an1jing4
缓缓	huan3huan3
行列	hang2lie4
欲望	yu4wang4
妹	mei4
不好意思	bu4hao3 yi4si5
生命力	sheng1ming4li4
封闭	feng1bi4
战术	zhan4shu4
大自然	da4zi4ran2
救援	jiu4yuan2
摩托车	mo2tuo1che1
支部	zhi1bu4
手法	shou3fa3
庆	qing4
高大	gao1da4
序	xu4
农家	nong2jia1
孤独	gu1du2
古人	gu3ren2
乡下	xiang1xia5
饮食	yin3shi2
宿	su4
赐	ci4
水质	shui3zhi4
擅自	shan4zi4
何况	he2kuang4
争论	zheng1lun4
缩短	suo1duan3
中学生	zhong1xue2sheng1
装饰	zhuang1shi4
当成	dang4cheng2
口岸	kou3 an4
原油	yuan2you2
勿	wu4
幸	xing4
运转	yun4zhuan3
舟	zhou1
主力	zhu3li4
皱	zhou4
炕	kang4
说不定	shuo1bu5ding4
飞船	fei1chuan2
教科书	jiao4ke1shu1
造就	zao4jiu4
乐	yue4
元首	yuan2shou3
经受	jing1shou4
世人	shi4ren2
发掘	fa1jue2
压迫	ya1po4
息	xi1
荒	huang1
难点	nan2dian3
阶层	jie1ceng2
热心	re4xin1
库区	ku4qu1
责令	ze2ling4
座谈	zuo4tan2
回避	hui2bi4
曲折	qu1zhe2
池	chi2
腔	qiang1
速递	su4di4
股市	gu3shi4
车子	che1zi5
箭	jian4
担负	dan1fu4
人身	ren2shen1
同类	tong2lei4
日记	ri4ji4
本着	ben3zhe5
试图	shi4tu2
扇	shan4
家具	jia1ju4
政绩	zheng4ji4
闭幕	bi4mu4
吾	wu2
虚假	xu1jia3
蓬勃	peng2bo2
虽说	sui1shuo1
助学	zhu4xue2
片刻	pian4ke4
务实	wu4shi2
盗	dao4
战役	zhan4yi4
菲律宾	Fei1lü4bin1
瞎	xia1
委屈	wei3qu5
影视	ying3shi4
乘客	cheng2ke4
伴	ban4
上岗	shang4gang3
培训班	pei2xun4ban1
短缺	duan3que1
大业	da4ye4
报复	bao4fu4
冻	dong4
身影	shen1ying3
赶上	gan3shang5
供	gong4
歪	wai1
工作组	gong1zuo4zu3
太空	tai4kong1
中旬	zhong1xun2
忠诚	zhong1cheng2
滋味	zi1wei4
棉	mian2
钥匙	yao4shi5
鸡蛋	ji1dan4
任	ren4
倾销	qing1xiao1
普查	pu3cha2
圈	quan1
再生	zai4sheng1
产物	chan3wu4
恐惧	kong3ju4
境	jing4
放开	fang4kai1
抖	dou3
荣获	rong2huo4
颜色	yan2se4
空白	kong4bai2
成人	cheng2ren2
民主党派	min2zhu3 dang3pai4
总算	zong3suan4
投产	tou2chan3
偷偷	tou1tou1
邀	yao1
多样	duo1yang4
装修	zhuang1xiu1
携带	xie2dai4
约定	yue1ding4
苹果	ping2guo3
县政府	xian4zheng4fu3
加紧	jia1jin3
抽象	chou1xiang4
心脏	xin1zang4
魂	hun2
武术	wu3shu4
缘故	yuan2gu4
缩	suo1
染	ran3
应付	ying4fu5
组委会	zu3wei3hui4
仪器	yi2qi4
肩负	jian1fu4
获奖	huo4jiang3
同行	tong2hang2
启示	qi3shi4
违背	wei2bei4
生活方式	sheng1huo2 fang1shi4
糊	hu2
先锋	xian1feng1
矮	ai3
策划	ce4hua4
物价	wu4jia4
大姐	da4jie3
贫	pin2
原先	yuan2xian1
增长率	zeng1zhang3lü4
无论如何	wu2lun4 ru2he2
豆	dou4
空前	kong1qian2
大厦	da4sha4
契机	qi4ji1
后悔	hou4hui3
国人	guo2ren2
游行	you2xing2
缺点	que1dian3
不觉	bu4jue2
赛场	sai4chang3
喂	wei4
公认	gong1ren4
旱	han4
描绘	miao2hui4
勒	le4
开采	kai1cai3
捡	jian3
取代	qu3dai4
互动	hu4dong4
表决	biao3jue2
必定	bi4ding5
叔叔	shu1shu5
岩	yan2
主教练	zhu3jiao4lian4
取缔	qu3di4
起诉	qi3su4
反抗	fan3kang4
塑料	su4liao4
题目	ti2mu4
禽流感	qin2liu2gan3
条款	tiao2kuan3
抄	chao1
悬	xuan2
线索	xian4suo3
强国	qiang2guo2
名誉	ming2yu4
过度	guo4du4
答案	da2’an4
发布会	fa1bu4hui4
侦查	zhen1cha2
术	shu4
旅馆	lü3guan3
商家	shang1jia1
国家队	guo2jia1dui4
旺	wang4
点击	dian3ji1
加剧	jia1ju4
态	tai4
历来	li4lai2
纵	zong4
兰	lan2
木兰	mu4lan2
抓获	zhua1huo4
从严	cong2yan2
平日	ping2ri4
面子	mian4zi5
判处	pan4chu3
深情	shen1qing2
交叉	jiao1cha1
秋天	qiu1tian1
祸	huo4
莲	lian2
煮	zhu3
间接	jian4jie1
人性	ren2xing4
良性	liang2xing4
亲属	qin1shu3
划	hua4
检疫	jian3yi4
起步	qi3bu4
缴	jiao3
心上	xin1shang5
疏	shu1
傍晚	bang4wan3
变动	bian4dong4
驾驶	jia4shi3
趁	chen4
消化	xiao1hua4
前者	qian2zhe3
事后	shi4hou4
况且	kuang4qie3
空调	kong1tiao2
生理	sheng1li3
中期	zhong1qi1
念头	nian4tou5
号码	hao4ma3
旅行	lü3xing2
天气预报	tian1qi4 yu4bao4
汉子	han4zi5
储蓄	chu3xu4
训	xun4
慌	huang1
走路	zou3lu4
病情	bing4qing2
捕	bu3
拉美	La1mei3
景点	jing3dian3
围棋	wei2qi2
购物	gou4wu4
低头	di1tou2
坝	ba4
无效	wu2xiao4
明亮	ming2liang4
四处	si4chu4
基金会	ji1jin1hui4
病例	bing4li4
承	cheng2
各位	ge4wei4
怎能	zen3neng2
娃娃	wa2wa5
远离	yuan3li2
刊物	kan1wu4
电网	dian4wang3
收支	shou1zhi1
水源	shui3yuan2
整天	zheng3tian1
哪	na3
誉为	yu4wei2
用力	yong4li4
可喜	ke3xi3
注视	zhu4shi4
美学	mei3xue2
正面	zheng4mian4
以至	yi3zhi4
家族	jia1zu2
吩咐	fen1fu4
国企	guo2qi3
抽查	chou1cha2
斩	zhan3
出租车	chu1zu1che1
剪	jian3
扛	kang2
姨	yi2
前所未有	qian2suo3wei4you3
被迫	bei4po4
其间	qi2jian1
迈	mai4
接连	jie1lian2
不已	bu4yi3
皇后	huang2hou4
看病	kan4bing4
告诉	gao4su5
未免	wei4mian3
胡子	hu2zi5
实惠	shi2hui4
老挝	Lao3wo1
握手	wo4shou3
土地	tu3di4
个中	ge4zhong1
纪委	ji4wei3
审核	shen3he2
新人	xin1ren2
衷心	zhong1xin1
悠久	you1jiu3
持久	chi2jiu3
起义	qi3yi4
侵害	qin1hai4
文人	wen2ren2
债	zhai4
棒	bang4
纯收入	chun2shou1ru4
海内外	hai3nei4wai4
婆婆	po2po5
原告	yuan2gao4
怒	nu4
财力	cai2li4
严密	yan2mi4
被动	bei4dong4
扮演	ban4yan3
食堂	shi2tang2
越是	yue4shi4
犯罪嫌疑人	fan4zui4 xian2yi2ren2
年均	nian2jun1
硕士	shuo4shi4
常年	chang2nian2
没收	mo4shou1
赞扬	zan4yang2
大于	da4yu2
举动	ju3dong4
植树	zhi2shu4
前列	qian2lie4
驴	lü2
犹	you2
无从	wu2cong2
分解	fen1jie3
都市	du1shi4
党校	dang3xiao4
适宜	shi4yi2
缘	yuan2
构筑	gou4zhu4
前沿	qian2yan2
火箭	huo3jian4
做事	zuo4shi4
散发	san4fa1
篮球	lan2qiu2
时时	shi2shi2
连队	lian2dui4
高低	gao1di1
长久	chang2jiu3
艺	yi4
漫长	man4chang2
讨厌	tao3yan4
充	chong1
牢	lao2
化石	hua4shi2
歇	xie1
经济学	jing1ji4xue2
榜样	bang3yang4
向着	xiang4zhe5
湾	wan1
书店	shu1dian4
善良	shan4liang2
申办	shen1ban4
转达	zhuan3da2
长征	chang2zheng1
光彩	guang1cai3
爱好	ai4hao4
账户	zhang4hu4
下发	xia4fa1
徒	tu2
嘴巴	zui3ba5
哎	ai1
学说	xue2shuo1
窑	yao2
考古	kao3gu3
盏	zhan3
荣	rong2
罗马	Luo2ma3
常见	chang2jian4
弟兄	di4xiong1
上访	shang4fang3
从业	cong2ye4
多样化	duo1yang4hua4
拼命	pin1ming4
山水	shan1shui3
杆	gan3
话语	hua4yu3
啊	a1
元素	yuan2su4
投降	tou2xiang2
上游	shang4you2
拐	guai3
爱人	ai4ren2
召集	zhao4ji2
惊人	jing1ren2
占地	zhan4di4
木材	mu4cai2
中医	zhong1yi1
便于	bian4yu2
妇人	fu4ren2
主场	zhu3chang3
无偿	wu2chang2
一旁	yi4pang2
深切	shen1qie4
对照	dui4zhao4
实在	shi2zai4
乒乓球	ping1pang1qiu2
恩	en1
研究员	yan2jiu1yuan2
花卉	hua1hui4
移植	yi2zhi2
竣工	jun4gong1
风貌	feng1mao4
陷	xian4
祭	ji4
同年	tong2nian2
途中	tu2zhong1
风雨	feng1yu3
维和	wei2he2
乌鲁木齐	Wu1lu3mu4qi2
丰富多彩	feng1fu4duo1cai3
油田	you2tian2
历时	li4shi2
小学生	xiao3xue2sheng5
葡萄	pu2tao5
即便	ji2bian4
先是	xian1shi5
纪检	ji4jian3
拼搏	ping1bo2
邓	Deng4
沾	zhan1
谁知	shui2zhi1
倾听	qing1ting1
轻易	qing1yi4
养成	yang3cheng2
彼	bi3
多项	duo1xiang4
糊涂	hu2tu5
标准化	biao1zhun3hua4
偶尔	ou3’er3
哪怕	na3pa4
形容	xing2rong2
业主	ye4zhu3
石家庄	Shi2jia1zhuang1
叹息	tan4xi1
悲哀	bei1’ai1
报酬	bao4chou5
捐	juan1
过后	guo4hou4
走廊	zou3lang2
议题	yi4ti2
开心	kai1xin1
网吧	wang3ba1
疯	feng1
官方	guan1fang1
新生	xin1sheng1
巨	ju4
跟前	gen1qian2
温柔	wen1rou2
两手	liang3shou3
容量	rong2liang4
利息	li4xi1
首席	shou3xi2
南昌	Nan2chang1
炸弹	zha4dan4
淮河	Huai2he2
噢	o1
规章	gui1zhang1
叠	die2
不妨	bu4fang3
浪漫	lang4man4
包袱	bao1fu5
明明	ming2ming2
连连	lian2lian2
恰	qia4
特意	te4yi4
偏偏	pian1pian1
设法	she4fa3
劳模	lao2mo2
播出	bo1chu1
不明	bu4ming2
时光	shi2guang1
规	gui1
里边	li3bian5
首位	shou3wei4
仁	ren2
发动机	fa1dong4ji1
借助	jie4zhu4
如果说	ru2guo3 shuo1
跨国公司	kua4guo2 gong1si1
和尚	he2shang5
主持人	zhu3chi2ren2
增大	zeng1da4
楼房	lou2fang2
不宜	bu4yi2
人选	ren2xuan3
何以	he2yi3
原子	yuan2zi3
嚷	rang3
新春	xin1chun1
合肥	He2fei2
称之为	cheng1zhi1wei2
疯狂	feng1kuang2
生死	sheng1si3
少爷	shao4ye5
债券	zhai4quan4
突发	tu1fa1
投身	tou2shen1
大致	da4zhi4
供水	gong1shui3
睡着	shui4zhao2
打扮	da3ban4
荡	dang4
朝廷	chao2ting2
查获	cha2huo4
逾	yu2
郎	lang2
犹如	you2ru2
场合	chan3he2
当下	dang1xia4
共青团	Gong4qing1tuan2
隐	yin3
膜	mo2
抵制	di3zhi4
真情	zhen1qing2
威	wei1
涂	tu2
旨	zhi3
嫂子	sao3zi5
倡议	chang4yi4
眉	mei2
孙子	sun1zi5
输入	shu1ru4
太后	tai4hou4
年会	nian2hui4
受灾	shou4zai1
中科院	Zhong1ke1yuan4
哈哈	ha1ha1
扩	kuo4
洒	sa3
清晨	qing1chen2
欺骗	qi1pian4
外边	wai4bian5
风采	feng1cai3
黄昏	huang2hun1
提问	ti2wen4
贪污	tan1wu1
不绝	bu4jue2
男孩儿	nan2hai2r5
拉萨	La1sa4
按时	an4shi2
唤	huan4
一家人	yi1jia1ren2
节省	jie2sheng3
捞	lao1
外界	wai4jie4
地址	di4zhi3
痛快	tong4kuai5
入世	ru4shi4
掩	yan3
力求	li4qiu2
常规	chang2gui1
机动车	ji1dong4che1
事业单位	shi4ye4 dan1wei4
诉	su4
震惊	zhen4jing1
盼望	pan4wang4
主编	zhu3bian1
一眼	yi1 yan3
疾	ji2
密度	mi4du4
甩	shuai3
融	rong2
揭露	jie1lu4
帷幕	wei2mu4
赠送	zeng4song4
胡同	hu2tong4
强有力	qiang2you3li4
眼神	yan3shen2
津	jin1
创立	chuang4li4
强劲	qiang2jing4
物质文明	wu4zhi4 wen2ming2
步入	bu4ru4
截	jie2
加重	jia1zhong4
倾	qing1
边缘	bian1yuan2
招聘	zhao1pin4
股东	gu3dong1
万一	wan4yi1
隧道	sui4dao4
材	cai2
庄	zhuang1
敬	jing4
丑	chou3
关切	guan1qie4
京城	jing1cheng2
欢喜	huan1xi3
考生	kao3sheng1
雕塑	diao4su4
春秋	chun1qiu1
男人	nan2ren2
显出	xian3chu1
父子	fu4zi3
倾斜	qing1xie2
忠实	zhong1shi2
刑	xing2
流传	liu2chuan2
深夜	shen1ye4
阅	yue4
烈士	lie4shi4
进取	jin4qu3
浓厚	nong2hou4
寸	cun4
借口	jie4kou3
搜	sou1
角落	jiao3luo4
整齐	zheng3qi2
要紧	yao4jin3
级别	ji2bie2
一新	yi1xin1
柬埔寨	Jian3pu3zhai4
过多	guo4duo1
石	shi2
任职	ren4zhi2
畜牧业	xu4mu4ye4
大娘	da4niang2
刑法	xing2fa3
黎	li2
重重	chong2chong2
吸引力	xi1yin3li4
晋	Jin4
狠	hen3
要么	yao4me5
做人	zuo4ren2
壮	zhuang4
指导员	zhi3dao3yuan2
严打	yan2da3
嗓子	sang3zi5
一头	yi1tou2
一派	yi1pai4
钉	ding4
份额	fen4e2
逐年	zhu2nian2
菊	ju2
合作社	he2zuo4she4
搂	lou3
打假	da3jia3
生产资料	sheng1chan3 zi1liao4
所在地	suo3zai4di4
仅有	jin3you3
来往	lai2wang3
印刷	yin4shua1
逛	guang4
一举	yi1ju3
潜在	qian2zai4
播	bo1
餐	can1
中医药	Zhong1yi1yao4
中级	zhong1ji2
战后	zhan4hou4
蓝天	lan2tian1
师长	shi1zhang3
部位	bu4wei4
例外	li4wai4
南宁	Nan2ning2
中年	zhong1nian2
邮票	you2piao4
老鼠	lao3shu3
土司	tu3si1
达标	da2biao1
娃	wa2
仍旧	reng2jiu4
迄今	qi4jin1
纪实	ji4shi2
病房	bing4fang2
控股	kong4gu3
心血	xin1xue4
粘	zhan1
务工	wu4gong1
休闲	xiu1xian2
股份制	gu3fen4zhi4
占用	zhan4yong4
充足	chong1zu2
饲养	si4yang3
啤酒	pi2jiu3
归来	gui1lai2
刷	shua1
纯粹	chun2cui4
惩罚	cheng2fa2
老区	lao3qu1
赚钱	zhuan4qian2
完美	wan2mei3
效力	xiao4li4
一把手	yi1ba3shou3
机组	ji1zu3
打下	da3xia4
再度	zai4du4
见解	jian4jie3
眯	mi1
生涯	sheng1ya2
柴	chai2
赌	du3
通	tong1
着眼于	zhuo2yan3 yu2
裁判	cai2pan4
强迫	qiang3po4
予	yu3
政治文明	zheng4zhi4 wen2ming2
比分	bi3fen1
大半	da4ban4
妙	miao4
弥补	mi2bu3
来临	lai2lin2
凤	feng4
合成	he2cheng2
国旗	guo2qi2
改正	gai3zheng4
收藏	shou1cang2
歌舞	ge1wu3
两边	liang3bian1
舱	cang1
典	dian3
物体	wu4ti3
维权	wei2quan2
无聊	wu2liao2
悲	bei1
凭借	ping2jie4
集会	ji2hui4
清除	qing1chu2
诸如	zhu1ru2
爱护	ai4hu4
神话	shen2hua4
认同	ren4tong2
滥	lan4
果断	guo3duan4
有事	you3shi4
忍受	ren3shou4
尸体	shi1ti3
祥	xiang2
先行	xian1xing2
起头	qi3tou2
法子	fa3zi5
仰	yang3
国庆	Guo2qing4
氧	yang3
自然科学	zi4ran2 ke1xue2
孔子	Kong3zi3
香烟	xiang1yan1
赤	chi4
生前	sheng1qian2
尖锐	jian1rui4
神气	shen2qi4
竞选	jing4xuan3
远程	yuan3cheng2
渝	yu2
编写	bian1xie3
多久	duo1 jiu3
一世	yi1shi4
瞬间	shun4jian1
诱惑	you4huo4
古典	gu3dian3
咧	lie1
水电	shui3dian4
暂行	zan4xing2
造福	zao4fu2
吻	wen3
没事	mei2shi4
测绘	ce4hui4
难忘	nan2wang4
公元	gong1yuan2
起码	qi3ma3
提议	ti2yi4
国际化	guo2ji4hua4
难受	nan2shou4
大豆	da4dou4
绝望	jue2wang4
赌博	du3bo2
重任	zhong4ren4
公有制	gong1you3zhi4
诚实	cheng2shi2
上台	shang4tai2
话说	hua4shuo1
东南亚	dong1nan2ya4
游人	you2ren2
栏	lan2
跃	yue4
涉嫌	she4xian2
马来西亚	ma3lai2xi1ya4
烦	fan2
好评	hao3ping2
淡淡	dan4dan4
海湾	hai3wan1
含义	han2yi4
涵义	han2yi4
在场	zai4chang3
邮政	you2zheng4
出资	chu1zi1
良心	liang2xin1
植被	zhi2bei4
特困	te4kun4
不懈	bu4xie4
行驶	xing2shi3
聊	liao2
完毕	wan2bi4
图案	tu2’an4
尊敬	zun1jing4
订单	ding4dan1
报告会	bao4gao4hui4
减免	jian3mian3
殿	dian4
复苏	fu4su1
音乐会	yin1yue4hui4
修复	xiu1fu4
繁殖	fan2zhi2
通行	tong1xing2
丛书	cong2shu1
阴影	yin1ying3
敏	min3
双重	shuang1chong2
园林	yuan2lin2
赞同	zan4tong2
中等	zhong1deng3
钻	zuan4
崇拜	chong2bai4
牌子	pai2zi5
筹集	chou2ji2
行	hang2
在座	zai4zuo4
麻	ma2
畅通	chang4tong1
下半年	xia4ban4nian2
家门	jia1men2
挑选	tiao1xuan3
妇	fu4
世界贸易组织	Shi4jie4 Mao4yi4 Zu3zhi1
执政党	zhi2zheng4dang3
缴纳	jiao3na4
打仗	da3zhang4
裹	guo3
遗传	yi2chuan2
值班	zhi2ban1
洪	hong2
任期	ren4qi1
田径	tian2jing4
一次性	yi1ci4xing4
遗	yi2
应邀	ying4yao1
开玩笑	kai1wan2xiao4
超出	chao1chu1
气味	qi4wei4
倘	tang3
杜绝	du4jue2
撕	si1
总产值	zong3chan3zhi2
残酷	can2ku4
届时	jie4shi2
风情	feng1qing2
良种	liang3zhong3
动机	dong4ji1
关爱	guan1’ai4
入学	ru4xue2
派遣	pai4qian3
难民	nan4min2
行李	xing2li5
二者	er4zhe3
炉	lu2
启发	qi3fa1
凶	xiong1
嗯	ng2
// 20k words/07
恰恰	qia4qia4
专业化	zhuan1ye4hua4
缅甸	Mian3dian4
实地	shi2di4
铝	lü3
永久	yong3jiu3
譬如	pi4ru2
教员	jiao4yuan2
和谈	he2tan2
部委	bu4wei3
奉行	feng4xing2
章程	zhang1cheng2
品格	pin3ge2
竟是	jing4shi4
塘	tang2
汗水	han4shui3
滥用	lan4yong4
信誉	xin4yu4
狠狠	hen3hen3
抵御	di3yu4
传输	chuan2shu1
幼	you4
牢记	lao2ji4
拦	lan2
后人	hou4ren2
滩	tan1
公交	gong1jiao1
净化	jing4hua4
缠	chan2
冯	Feng2
下旬	xia4xun2
栽培	zai1pei2
假冒伪劣	jia3mao4wei3lie4
亚太地区	Ya4tai4di4qu1
再现	zai4xian4
下令	xia4ling4
邪	xie2
中国画	Zhong1guo2hua4
适时	shi4shi2
跳舞	tiao4wu3
林木	lin2mu4
湘	Xiang1
律	lü4
大嫂	da4sao3
辖区	xia2qu1
可笑	ke3xiao4
限期	xian4qi1
较量	jiao4liang4
喘	chuan3
辽	liao2
太平	tai4ping2
典礼	dian3li3
巡	xun2
造型	zao4xing2
庄稼	zhuang1jia5
一块儿	yi2kuai4r5
发送	fa1song4
拾	shi2
柱	zhu4
雷	lei2
违章	wei2zhang1
车队	che1dui4
形状	xing2zhuang4
不惜	bu4xi1
两侧	liang3ce4
舒适	shu1shi4
雄	xiong2
音像	yin1xiang4
现任	xian4ren4
得罪	de2zui4
录取	lu4qu3
来不及	lai2bu5ji2
